ObjectId,lat,long,offence,location,year,month,date,dayofweek,MCI,Arrest
1585,43.73471415,-79.59786189,B&E,"Single Home, House (Attach Garage, Cottage, Mobile)",2016,February,2016/02/26 05:00:00+00,Friday    ,Break and Enter,1
1586,43.75300241,-79.62508866,Robbery With Weapon,"Gas Station (Self, Full, Attached Convenience)",2016,February,2016/02/26 05:00:00+00,Friday    ,Robbery,1
1587,43.75300241,-79.62508866,Robbery With Weapon,"Gas Station (Self, Full, Attached Convenience)",2016,February,2016/02/26 05:00:00+00,Friday    ,Robbery,1
1588,43.75300241,-79.62508866,Robbery - Business,"Gas Station (Self, Full, Attached Convenience)",2016,February,2016/02/26 05:00:00+00,Friday    ,Robbery,1
1589,43.72388969,-79.61580992,B&E,"Apartment (Rooming House, Condo)",2016,February,2016/02/22 05:00:00+00,Monday    ,Break and Enter,1
1590,43.75230198,-79.59926221,Robbery - Mugging,"Open Areas (Lakes, Parks, Rivers)",2016,February,2016/02/28 05:00:00+00,Sunday    ,Robbery,1
1591,43.75230198,-79.59926221,Robbery - Mugging,"Open Areas (Lakes, Parks, Rivers)",2016,February,2016/02/28 05:00:00+00,Sunday    ,Robbery,1
1592,43.68675813,-79.59552737,Assault With Weapon,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",2016,March,2016/03/01 05:00:00+00,Tuesday   ,Assault,1
1593,43.73601858,-79.59491671,Robbery - Mugging,"Streets, Roads, Highways (Bicycle Path, Private Road)",2016,March,2016/03/01 05:00:00+00,Tuesday   ,Robbery,1
1594,43.73677452,-79.59166379,Assault,Schools During Supervised Activity,2016,February,2016/02/29 05:00:00+00,Monday    ,Assault,1
1595,43.73677452,-79.59166379,Assault,Schools During Supervised Activity,2016,February,2016/02/29 05:00:00+00,Monday    ,Assault,1
1596,43.70602991,-79.60417825,Assault With Weapon,"Apartment (Rooming House, Condo)",2016,March,2016/03/03 05:00:00+00,Thursday  ,Assault,1
1597,43.70602991,-79.60417825,Assault,"Apartment (Rooming House, Condo)",2016,March,2016/03/03 05:00:00+00,Thursday  ,Assault,1
